year,height
1913,143.2233363
1914,167.2155178
1915,143.8665434
1916,170.9841503
1917,183.5089546
1918,128.6522687
1919,126.3714388
1920,93.91043667
1921,109.5716736
1922,82.86966935
1923,83.21459101
1924,80.50940046
1925,42.20677257
1926,200.5335183
1927,105.863667
1928,134.3815193
1929,132.6397578
1930,100.3156946
1931,67.25015956
1932,215.0088703
1933,334.8679491
1934,180.1983875
1935,116.7301437
1936,175.0536301
1937,202.6140632
1938,138.9375496
1939,136.5663439
1940,134.1056315
1941,81.38233551
1942,220.7807018
1943,187.4097858
1944,489.8390003
1945,61.3947257
1946,301.4083425
1947,269.1275126
1948,326.8713044
1949,264.1154223
1950,139.6260329
1951,137.0891382
1952,134.4268183
1953,222.9443808
1954,190.4764267
1955,95.92533847
1956,185.2630185
1957,212.7875331
1958,210.3198686
1959,86.60707369
1960,115.1173946
1961,80.63097493
1962,171.6742082
1963,136.6808731
1964,103.8311392
1965,466.797684
1966,251.8980546
1967,66.27947415
1968,64.42619123
1969,108.9977778
1970,113.2560163
1971,165.3671775
1972,229.7048575
1973,233.1537693
1974,206.7472243
1975,164.0159638
1976,63.54800972
1977,120.0081454
1978,119.4032523
1979,102.863388
1980,102.1684088
1981,215.693213
1982,128.2394526
1983,91.6883643
1984,140.9973674
1985,108.6478866
1986,130.2700187
1987,208.6796794
1988,99.01011776
1989,88.5886563
1990,172.0989772
1991,175.3538128
1992,157.9070043
1993,115.4315188
1994,112.6863544
1995,214.2867614
1996,81.59576453
1997,55.27496072
1998,309.8860854
1999,197.2130478
2000,100.6550076
2001,227.9857356
2002,112.5712966
2003,79.09610086
2004,113.3113252
2005,715.9114426
2006,134.2780892
2007,162.9537364
2008,209.4849863
2009,204.0173219
2010,171.3153176
2011,106.0883656
2012,163.0949574
2013,130.321116
2014,168.8459203
2015,225.6690804
2016,261.0212438
2017,567.7438899
2018,113.2142369
2019,263.5194743
