Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2000,0.14,0.55,2.56,1.5,1.6,1.53,2.09,0.72,2.51,1.28,0.89,0.44
2001,0.73,0.86,2.01,2.94,3.62,1.09,1.76,1.64,1.77,0.4,1.02,0.36
2002,1.07,0.44,1.5,0.2,3.2,1.18,0.09,1.44,1.52,2.44,0.78,0.02
2003,0.09,1.52,5.44,2.99,2.62,2.69,0.71,3.52,0.35,0.45,0.8,0.84
2004,0.82,1.31,1.09,5.66,1.28,3.96,3.44,2.88,2.07,2.32,1.99,0.35
2005,1.4,0.31,1.22,3.86,1.91,2.68,0.42,1.63,0.42,2.8,0.34,0.43
2006,0.44,0.68,2.08,1.04,1.14,1.32,2.63,1.23,1.25,3.71,0.74,3.05
2007,1.68,0.86,1.69,2.24,1.79,0.38,0.8,1.92,1.92,1.38,0.47,2.1
2008,0.46,0.63,1.47,1.13,4.21,1.58,0.09,2.97,1.84,1.18,0.13,1.33
2009,0.62,0.27,1.89,5.88,3.08,2.7,1.42,0.33,0.42,3.26,0.93,1.39
2010,0.28,1.37,3.3,3.63,2.71,3.36,2.31,1.07,0.25,0.94,0.61,0.48
2011,0.96,1.02,0.33,2.41,5.16,1.35,2.87,1.08,2.56,1.65,0.98,1.92
2012,0.38,1.94,0.01,1.31,1.78,0.38,4.99,0.36,2.27,1.44,0.28,0.51
2013,0.27,1.13,1.72,4.14,2.66,0.61,1.03,1.4,18.16,2.24,0.29,0.5
2014,1.67,0.68,1.62,1.87,4.43,0.84,4.57,1.6,2.88,1.16,0.88,1.37
2015,0.38,3.69,0.38,4.5,7.82,1.76,2.98,0.31,0.14,2.02,1.83,1.11
2016,0.37,1.44,3.84,3.34,2.01,2.37,0.61,1.06,0.45,0.38,0.47,0.91
2017,1.41,0.73,1.45,3.15,6.29,0.45,1.3,1.62,1.92,2.42,0.57,0.68
2018,0.74,1.04,2.23,1.35,4.76,1.82,1.84,0.24,1.02,2.68,1.19,0.34
2019,1.57,0.74,2.83,1.87,3.89,2.12,2.21,0.1,0.56,2.42,2.38,0.35
