Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2000,23.2,30.1,41.2,45.1,59.5,65.8,67.1,67.5,60.9,51.7,38.4,22.6
2001,26.6,28.5,30.3,47.7,59.5,66.7,69,72.2,61.2,52.3,47.1,35.8
2002,32.6,31.9,35.1,48.2,53.4,67.6,73.9,72.4,67.7,49.9,40.5,28.4
2003,18.1,20.9,34.1,43.3,55.1,64.7,70.5,70.7,62.5,48.2,42.2,32.3
2004,17.2,25,38.6,45.7,58.7,62.6,68.3,66.9,64.2,50.2,41.1,29.3
2005,21.6,25.8,29.7,46,52.2,70.5,73,72.8,65.5,53.4,43.7,28
2006,35.4,28.4,36,48,58.9,67.8,75,70.3,62.1,50.6,45.9,39
2007,30,20.3,35.3,44.6,59.5,69.5,69.7,71.7,64.7,58,38.5,29.3
2008,30.4,26.4,31.5,52.3,54.8,69.8,72,67.6,63.1,49.6,39.3,30.6
2009,19.1,29,35.8,46.6,56.8,63.5,66.2,69.3,60.7,48.2,41.9,27.9
2010,24.2,25.5,39.9,52.4,60.5,66.8,73.6,71,61.9,50.7,39.9,26.2
2011,21.9,24.5,33.8,46.4,58.8,67.2,74.6,69.6,64.3,51.5,45.9,35.2
2012,30.2,31.8,47.3,45.9,63,68.4,74.5,70.6,62,52.8,39.3,36.2
2013,30.1,26.8,33.5,46.6,61.4,66.4,73,69.3,61,53.3,37.5,28.5
2014,20.6,21.3,27.7,46.1,59.8,68.9,69.3,68.2,62.9,53.9,38.7,34.4
2015,19.5,12.2,30,47.6,64,65.9,70.9,69.5,67.9,51,46.6,42.2
2016,27.4,29.5,40.1,42.3,58.5,67.5,74.8,75.9,66.8,54.2,45.2,31.3
2017,31.4,35.5,32.9,51.5,57,67.7,71.1,68.6,65.6,57.7,40.5,26
2018,25,33.6,32.2,40.9,64.6,67.6,75.2,73.6,67.7,50.9,36.4,33.8
2019,23.9,28.7,33.5,46.9,56.5,66,74.1,70.1,64.6,53.6,35,31.5
2020,31.1,28.6,40.1,42.4,55,67.9,75.6,70.7,62.2,50.9,45.5,32.9
